,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 1,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2,Коэффициент 2
Менеджер,Васильев Артем Александрович,Иванова Мария Сергеевна,Кузнецов Михаил Иванович,Михайлов Андрей Сергеевич,Петрова Анна Дмитриевна,Попова Екатерина Николаевна,Смирнова Ольга Владимировна,Соколова Анастасия Викторовна,Федорова Марина Васильевна,без А/М,Васильев Артем Александрович,Иванова Мария Сергеевна,Кузнецов Михаил Иванович,Михайлов Андрей Сергеевич,Петрова Анна Дмитриевна,Попова Екатерина Николаевна,Смирнова Ольга Владимировна,Соколова Анастасия Викторовна,Федорова Марина Васильевна,без А/М
Месяц,,,,,,,,,,,,,,,,,,,,
2023-01,0.07901798485328924,0.06786914394647427,0.055569068187536694,0.06465464421425796,,0.0479942951238606,0.08716696616923197,0.05475901499660563,,,0.0,0.0,,0.0,,0.0,,0.12340135711222662,,
2023-02,0.12673792413640986,,0.03744182555171896,0.15880041922092825,,0.0,0.0,0.03404274858801585,,,0.0692177268731981,0.0,,0.0,,0.0,0.0,0.051287771284934794,,
2023-03,0.07823103301322346,0.048601252777993924,0.0,0.22978281434554806,,0.06095420968499317,,0.07133542812254517,,,0.06864839418616227,,0.0,,,0.0,0.06845791496219164,0.0,,
2023-04,0.05030084621629871,0.035011910289572894,0.0,0.12222142381240088,,0.03698302578008912,0.09049965025991476,0.08074695952337267,,,0.025517085974171884,0.0,0.0,,,0.02666085558202271,,0.0,,
2023-05,0.06660017654666613,0.08830182070815046,,0.09356169726359344,,0.05381669864026714,,0.04378531803682124,,,0.0,0.0,0.0,,,0.0,,0.0,,
2023-06,0.052480293156540306,0.0,,0.0,,0.0,0.02680150980187194,0.05590554574050933,,,0.021482761944322498,,,0.0,,0.0,,0.0,,
2023-07,0.06552668737192473,0.037910125070800854,,0.3992084877062984,,0.023516117702750163,0.0,0.0734576864365762,,,0.0,0.0,,0.0,,0.07582107007114317,0.056562974130662705,0.0,,
2023-08,0.08115300109965067,0.0673940799356016,,,,0.04976651806982134,0.06626769947852332,0.0937521287802941,,,0.0,0.0,,,,0.0,0.15839590650357271,0.0,,
2023-09,0.04048049230861076,0.1268561561552335,,0.0,,0.047043002251958815,0.08576646547757513,0.04039325153352488,,,0.0,0.0,,,,0.0,0.0,0.0,,
2023-10,0.055401107975462036,0.0,0.0797431608278665,0.0540551213138521,,0.0762367591900854,0.07104813205410987,0.09531531616848145,,,0.029493385302869327,0.0,,0.0,,0.06515046795280072,0.0,0.0,,
2023-11,0.07886575567028772,,0.05453757465675709,,,,0.06177025502792409,0.04112833955994638,,,0.0,0.0,,0.0,,0.04483372595665744,0.0,0.0,,
2023-12,0.008397307661935277,,0.03573021764021209,0.0,0.5263316547920951,0.054935712666385986,0.04652271110687838,0.09290661892787028,,,0.0709342840936715,,0.0,,,,0.015609975761015334,0.0,,
